name,taxonomy,imageURL,details,temprange,details,phRange,tank size,fish size (cm/inches),fish compatibility,detailsUrl
Indian Glass Barb,Laubuka laubuca,,"The Indian Glass barb is a unique, surface-dwelling fish with a translucent body that often shows an iridescent blue or green sheen under proper lighting. They inhabit the upper water column of South Asian rivers and require a 20-to-30-gallon tank with a very secure lid, as they are capable jumpers. Their temperament is peaceful and social, requiring a school to feel safe. They are compatible with mid-water and bottom-dwelling community fish that will not compete for their surface space.",24–28 degrees celsius,"The Indian Glass barb is a unique, surface-dwelling fish with a translucent body that often shows an iridescent blue or green sheen under proper lighting. They inhabit the upper water column of South Asian rivers and require a 20-to-30-gallon tank with a very secure lid, as they are capable jumpers. Their temperament is peaceful and social, requiring a school to feel safe. They are compatible with mid-water and bottom-dwelling community fish that will not compete for their surface space.",6.5 - 7.5,15 – 20 gallons,"6.0-8.0 cm / 2.4-3.1""",Peaceful (Schooling): Active and peaceful; compatible with other medium-sized schooling fish.,
Melon barb,Puntius fasciatus,,"The Melon barb is a beautiful species where males develop a soft, melon-pink to orange flush across their silver body, accented by several dark vertical bands. Native to the hill streams of India, they prefer 30 gallons with plenty of rocks and moderate water flow. Their temperament is peaceful and active, though they are slightly more sensitive to water quality than other barbs. They are compatible with other peaceful schooling fish and show their best colors when kept in a mixed-gender group.",23–28 degrees celsius,"The Melon barb is a beautiful species where males develop a soft, melon-pink to orange flush across their silver body, accented by several dark vertical bands. Native to the hill streams of India, they prefer 30 gallons with plenty of rocks and moderate water flow. Their temperament is peaceful and active, though they are slightly more sensitive to water quality than other barbs. They are compatible with other peaceful schooling fish and show their best colors when kept in a mixed-gender group.",6.0 - 7.5,10 – 15 gallons,"6.0-8.0 cm / 2.4-3.1""","Peaceful (Schooling): Translucent and social; compatible with other peaceful, small community fish.",https://en.wikipedia.org//wiki/Puntius_fasciatus
Odessa barb,Puntius padamya,https://upload.wikimedia.org//wikipedia/commons/b/b2/Puntius_Padamya.jpg,"The Odessa barb is famous for the broad, brilliant red stripe that runs along the middle of the male's silver-gold body, particularly during social displays. They were a mystery in the hobby for years before being officially described from Myanmar. They require a 20-to-30-gallon aquarium and are very active swimmers. Their temperament is peaceful, making them a fantastic addition to a community tank. They are highly compatible with other barbs and tetras and are known for their hardiness.",24–28 degrees celsius,"The Odessa barb is famous for the broad, brilliant red stripe that runs along the middle of the male's silver-gold body, particularly during social displays. They were a mystery in the hobby for years before being officially described from Myanmar. They require a 20-to-30-gallon aquarium and are very active swimmers. Their temperament is peaceful, making them a fantastic addition to a community tank. They are highly compatible with other barbs and tetras and are known for their hardiness.",6.5 - 8.0,20 – 30 gallons,"6.0-8.0 cm / 2.4-3.1""","Peaceful (Schooling): Beautiful and docile; compatible with other calm, peaceful community species.",https://en.wikipedia.org//wiki/Puntius_padamya
Onespot barb,Puntius terio,,"The Onespot barb is a hardy silver fish from the Indian subcontinent, distinguished by a single prominent black spot on the base of its tail and often a subtle rosy-red tint on the gill covers. They reach about 4 to 5 inches and require at least 30 to 40 gallons of space. Their temperament is peaceful but energetic, and they can be boisterous during feeding. They are compatible with other medium-sized community fish and are very easy to care for.",24–28 degrees celsius,"The Onespot barb is a hardy silver fish from the Indian subcontinent, distinguished by a single prominent black spot on the base of its tail and often a subtle rosy-red tint on the gill covers. They reach about 4 to 5 inches and require at least 30 to 40 gallons of space. Their temperament is peaceful but energetic, and they can be boisterous during feeding. They are compatible with other medium-sized community fish and are very easy to care for.",6.0 - 7.5,20 – 30 gallons,"8.0-10.0 cm / 3.1-3.9""",Peaceful (Schooling): Hardy and active; compatible with most other peaceful community tankmates.,https://en.wikipedia.org//wiki/Puntius_terio
Panda barb,Puntius fasciatus,https://upload.wikimedia.org//wikipedia/commons/2/20/Pandabarben.jpg,"The Panda barb is a striking variety featuring several thick, vertical black bands across a cream-to-golden body, resembling the markings of a panda. They require a 30-gallon setup with plenty of plants and swimming room. Their temperament is peaceful and social, and they look best when kept in a school of six or more. They are compatible with other peaceful barbs and are highly active throughout the day.",22–28 degrees celsius,"The Panda barb is a striking variety featuring several thick, vertical black bands across a cream-to-golden body, resembling the markings of a panda. They require a 30-gallon setup with plenty of plants and swimming room. Their temperament is peaceful and social, and they look best when kept in a school of six or more. They are compatible with other peaceful barbs and are highly active throughout the day.",6.0 - 7.5,15 – 20 gallons,"5.0-7.0 cm / 2.0-2.8""",Peaceful (Schooling): Active social fish; compatible with other medium-sized community fish.,https://en.wikipedia.org//wiki/Puntius_fasciatus
Pool barb,Puntius sophore,https://upload.wikimedia.org//wikipedia/commons/6/6e/Puntius_sophore_2.jpg,"The Pool barb is a plain but hardy silver fish with a dark spot on the dorsal fin and tail base, often found in a wide range of habitats across South Asia. They are very adaptable and can thrive in a 20-to-30-gallon tank with basic care. Their temperament is peaceful, and they are a great utility fish for a variety of setups. They are compatible with almost all community fish and are known for their resilience.",24–28 degrees celsius,"The Pool barb is a plain but hardy silver fish with a dark spot on the dorsal fin and tail base, often found in a wide range of habitats across South Asia. They are very adaptable and can thrive in a 20-to-30-gallon tank with basic care. Their temperament is peaceful, and they are a great utility fish for a variety of setups. They are compatible with almost all community fish and are known for their resilience.",6.0 - 7.5,15 – 20 gallons,"8.0-10.0 cm / 3.1-3.9""","Peaceful (Schooling): Striking coloration; compatible with other peaceful, active schooling species.",https://en.wikipedia.org//wiki/Puntius_sophore
Partipentazona barb,Puntigrus partipentazona,https://upload.wikimedia.org//wikipedia/commons/6/6e/Puntius_partipentazona_FOWLER.jpg,"Often confused with the Tiger barb, the Partipentazona barb has five vertical bars on a golden-orange body but is much more peaceful. They inhabit the soft-water forest streams of Southeast Asia and require a 20-gallon tank with plenty of cover. Their temperament is calm and they are not known for fin-nipping. They are highly compatible with peaceful community fish and are a great alternative for those who like the Tiger barb look without the aggression.",24–28 degrees celsius,"Often confused with the Tiger barb, the Partipentazona barb has five vertical bars on a golden-orange body but is much more peaceful. They inhabit the soft-water forest streams of Southeast Asia and require a 20-gallon tank with plenty of cover. Their temperament is calm and they are not known for fin-nipping. They are highly compatible with peaceful community fish and are a great alternative for those who like the Tiger barb look without the aggression.",5.0 - 7.0,15 – 20 gallons,"3.5-4.5 cm / 1.4-1.8""","Peaceful (Schooling): Docile and social; compatible with other small, peaceful community fish.",
Rosy barb,Pethia conchonius,https://upload.wikimedia.org//wikipedia/en/0/0d/Male_Rosy_Barb.gif,"The Rosy barb is one of the most popular and hardy barbs, with males turning a brilliant, metallic copper-red during spawning. They reach about 3 to 4 inches and require a minimum of 30 gallons. Their temperament is peaceful and very active, though they can occasionally nip at long fins if kept in too small a group. They are excellently compatible with other robust community fish and are tolerant of a wide range of water temperatures.",20–25 degrees celsius,"The Rosy barb is one of the most popular and hardy barbs, with males turning a brilliant, metallic copper-red during spawning. They reach about 3 to 4 inches and require a minimum of 30 gallons. Their temperament is peaceful and very active, though they can occasionally nip at long fins if kept in too small a group. They are excellently compatible with other robust community fish and are tolerant of a wide range of water temperatures.",6.5 - 7.5,20 – 30 gallons,"6.0 - 8.0 cm / 2.4 - 3.1""","Peaceful; best kept in groups with other active, medium-sized community fish.",https://en.wikipedia.org//wiki/Pethia_conchonius
Shortfin barb,Barbus brevipinnis,,"This species features a sleek, silvery body with subtle iridescent scales that shimmer under bright lighting. Native to the rivers and streams of South Asia, they are accustomed to moderate water flow and well-oxygenated environments. They require at least 30 gallons and a setup that provides both open swimming space and planted areas for cover. Their temperament is generally peaceful and active, making them highly compatible with other medium-sized community fish like danios or loaches. They are schooling fish by nature and should be kept in groups of six or more to ensure they feel secure and display their best colors.",20–26 degrees celsius,"This species features a sleek, silvery body with subtle iridescent scales that shimmer under bright lighting. Native to the rivers and streams of South Asia, they are accustomed to moderate water flow and well-oxygenated environments. They require at least 30 gallons and a setup that provides both open swimming space and planted areas for cover. Their temperament is generally peaceful and active, making them highly compatible with other medium-sized community fish like danios or loaches. They are schooling fish by nature and should be kept in groups of six or more to ensure they feel secure and display their best colors.",6.0 - 7.5,20 – 30 gallons,"6.0 - 7.0 cm / 2.4 - 2.8""",Peaceful; compatible with most small to medium community tankmates in a schooling environment.,https://en.wikipedia.org//wiki/Barbus_brevipinnis
Snakeskin barb,Desmopuntius rhomboocellatus,https://upload.wikimedia.org//wikipedia/commons/e/e4/Puntius_rhomboocellatus.jpg,"One of the most visually unique barbs, the snakeskin barb is named for the irregular, dark green-to-black blotches on its orange-red body that resemble snakeskin patterns. They originate from the peat swamp forests of Borneo, meaning they thrive in soft, acidic ""blackwater"" environments with low light and plenty of leaf litter. They require a 20-to-30-gallon aquarium and are slightly more sensitive to water quality than other barbs. Their temperament is very peaceful and they are not known for fin-nipping, making them excellent companions for other shy species like chocolate gouramis or small rasboras.",22–26 degrees celsius,"One of the most visually unique barbs, the snakeskin barb is named for the irregular, dark green-to-black blotches on its orange-red body that resemble snakeskin patterns. They originate from the peat swamp forests of Borneo, meaning they thrive in soft, acidic ""blackwater"" environments with low light and plenty of leaf litter. They require a 20-to-30-gallon aquarium and are slightly more sensitive to water quality than other barbs. Their temperament is very peaceful and they are not known for fin-nipping, making them excellent companions for other shy species like chocolate gouramis or small rasboras.",6.0 - 7.0,20 – 30 gallons,"6.0 - 8.0 cm / 2.4 - 3.1""",Peaceful and social; ideal for community tanks with other docile schooling fish.,
"Spottedsail barb, dwarf barb",Pethia phutunio,,"This diminutive species is prized for its metallic, honey-gold body and the fine black speckling that adorns its translucent fins. Native to the quiet floodplains and standing waters of India and Bangladesh, they prefer a calm environment of 15 gallons with dense, fine-leaved vegetation. Their temperament is exceptionally peaceful and shy; they must be kept in large schools of ten or more to prevent stress. They are highly compatible with other nano-species and freshwater shrimp, as they are far too small to pose a threat to even juvenile invertebrates.",23–27 degrees celsius,"This diminutive species is prized for its metallic, honey-gold body and the fine black speckling that adorns its translucent fins. Native to the quiet floodplains and standing waters of India and Bangladesh, they prefer a calm environment of 15 gallons with dense, fine-leaved vegetation. Their temperament is exceptionally peaceful and shy; they must be kept in large schools of ten or more to prevent stress. They are highly compatible with other nano-species and freshwater shrimp, as they are far too small to pose a threat to even juvenile invertebrates.",6.0 - 7.0,10 – 15 gallons,"3.5 - 4.5 cm / 1.4 - 1.8""","Very peaceful; perfect for nano tanks with other small, gentle species.",https://en.wikipedia.org//wiki/Pethia_phutunio
Swamp barb,Puntius chola,https://upload.wikimedia.org//wikipedia/commons/8/8b/Puntius_chola.jpg,"The swamp barb is a hardy, silvery fish characterized by a single prominent black spot on the base of its tail and a subtle reddish tint on its gill covers. As their name suggests, they are often found in stagnant or slow-moving swamps and rice paddies across South Asia, making them very adaptable to different water conditions. They require at least 30 gallons and are very active, energetic swimmers. Their temperament is peaceful but boisterous, particularly during feeding times. They are compatible with other robust community fish and are an excellent choice for hobbyists looking for a low-maintenance, active schooling fish.",22–27 degrees celsius,"The swamp barb is a hardy, silvery fish characterized by a single prominent black spot on the base of its tail and a subtle reddish tint on its gill covers. As their name suggests, they are often found in stagnant or slow-moving swamps and rice paddies across South Asia, making them very adaptable to different water conditions. They require at least 30 gallons and are very active, energetic swimmers. Their temperament is peaceful but boisterous, particularly during feeding times. They are compatible with other robust community fish and are an excellent choice for hobbyists looking for a low-maintenance, active schooling fish.",6.0 - 7.5,15 – 25 gallons,"7.0 - 9.0 cm / 2.8 - 3.5""",Peaceful; compatible with a wide variety of standard community fish.,https://en.wikipedia.org//wiki/Puntius_chola
Ticto barb,Barbus ticto,,"The ticto barb, often confused with the Odessa barb, features a shimmering silver body with two distinct black spots—one above the pectoral fin and one near the tail. Males develop a beautiful ruby-red flush along their flanks during the breeding season. They are native to the high-altitude streams of the Himalayas, which means they prefer slightly cooler water temperatures and high oxygen levels. They require a 30-gallon tank and have a peaceful, social temperament. They are highly compatible with other cool-water species like rosy barbs or zebra danios.",22–28 degrees celsius,"The ticto barb, often confused with the Odessa barb, features a shimmering silver body with two distinct black spots?one above the pectoral fin and one near the tail. Males develop a beautiful ruby-red flush along their flanks during the breeding season. They are native to the high-altitude streams of the Himalayas, which means they prefer slightly cooler water temperatures and high oxygen levels. They require a 30-gallon tank and have a peaceful, social temperament. They are highly compatible with other cool-water species like rosy barbs or zebra danios.",6.0 - 7.5,15 – 20 gallons,"7.0 - 9.0 cm / 2.8 - 3.5""",Peaceful; an active schooling fish that gets along well with other lively community dwellers.,https://en.wikipedia.org//wiki/Barbus_ticto
Tic-tac-toe barb,Puntius stoliczkanus,https://upload.wikimedia.org//wikipedia/commons/2/2c/PuntiusStoliczkanus.jpg,"The Tic-tac-toe barb is a vibrant species from Southeast Asia characterized by a shimmering silver body and two distinct black blotches—one behind the gills and one near the tail—that resemble markers on a game board. Mature males develop a stunning red-to-pink flush on their dorsal fins, making them a beautiful addition to a well-lit aquarium. They inhabit fast-flowing hill streams and require at least 30 gallons with high oxygen levels and moderate water flow to mimic their natural habitat. Their temperament is peaceful and active, and they are highly compatible with other hill-stream species like loaches and danios. Keeping them in a school of at least six is essential to ensure they remain confident and display their most intense colors.",22–26 degrees celsius,"The Tic-tac-toe barb is a vibrant species from Southeast Asia characterized by a shimmering silver body and two distinct black blotches?one behind the gills and one near the tail?that resemble markers on a game board. Mature males develop a stunning red-to-pink flush on their dorsal fins, making them a beautiful addition to a well-lit aquarium. They inhabit fast-flowing hill streams and require at least 30 gallons with high oxygen levels and moderate water flow to mimic their natural habitat. Their temperament is peaceful and active, and they are highly compatible with other hill-stream species like loaches and danios. Keeping them in a school of at least six is essential to ensure they remain confident and display their most intense colors.",6.0 - 7.0,15 – 20 gallons,"5.0 - 6.0 cm / 2.0 - 2.4""","Peaceful; best maintained in a group with other small, non-aggressive barbs or tetras.",https://en.wikipedia.org//wiki/Puntius_stoliczkanus
"Tiger barb, sumatra barb",Puntius tetrazona,https://upload.wikimedia.org//wikipedia/commons/4/44/Tigerbarbe_Puntius_tetrazona.jpg,"Perhaps the most famous barb in the hobby, the tiger barb features a bright orange body with four bold, vertical black stripes and orange-tipped fins. They are native to the flowing rivers of Sumatra and Borneo and require a 30-gallon tank with plenty of room to dart around. Their temperament is semi-aggressive and they are notorious fin-nippers, especially if kept in small groups. To manage this aggression, they must be kept in schools of at least eight to twelve; this keeps their focus on their own social hierarchy rather than their tank mates. They are compatible with other fast-moving, short-finned fish like giant danios or clown loaches.",22–26 degrees celsius,"Perhaps the most famous barb in the hobby, the tiger barb features a bright orange body with four bold, vertical black stripes and orange-tipped fins. They are native to the flowing rivers of Sumatra and Borneo and require a 30-gallon tank with plenty of room to dart around. Their temperament is semi-aggressive and they are notorious fin-nippers, especially if kept in small groups. To manage this aggression, they must be kept in schools of at least eight to twelve; this keeps their focus on their own social hierarchy rather than their tank mates. They are compatible with other fast-moving, short-finned fish like giant danios or clown loaches.",6.0 - 8.0,20 – 30 gallons,"6.0 - 8.0 cm / 2.4 - 3.1""","Semi-aggressive: Known for fin-nipping, so keep in large groups and avoid long-finned tankmates.",https://en.wikipedia.org//wiki/Puntius_tetrazona
"Spanner barb, t-barb",Barbodes lateristriga,https://upload.wikimedia.org//wikipedia/commons/e/e0/Puntius_lateristriga.jpg,"This is a large barb named for the ""T"" or spanner-wrench shape formed by the intersection of its vertical and horizontal black body markings. Originating from the mountain streams of Southeast Asia, they grow quite large (up to 8 inches) and require at least 55 to 75 gallons. Their temperament is generally peaceful but their sheer size and energy can be overwhelming for smaller fish. They are best compatible with other large, robust species. A notable remark for their care is their need for high-quality filtration, as they are messy eaters and produce significant waste.",20–25 degrees celsius,"This is a large barb named for the ""T"" or spanner-wrench shape formed by the intersection of its vertical and horizontal black body markings. Originating from the mountain streams of Southeast Asia, they grow quite large (up to 8 inches) and require at least 55 to 75 gallons. Their temperament is generally peaceful but their sheer size and energy can be overwhelming for smaller fish. They are best compatible with other large, robust species. A notable remark for their care is their need for high-quality filtration, as they are messy eaters and produce significant waste.",6.0 - 7.5,30 – 55 gallons,"10.0 - 15.0 cm / 3.9 - 5.9""",Peaceful but active; best for larger community tanks with robust tankmates.,https://en.wikipedia.org//wiki/Barbodes_lateristriga
"Fiveband barb, pentazona barb",Desmopuntius hexazona,https://upload.wikimedia.org//wikipedia/commons/e/ea/Desmopuntius_hexazona.jpg,"The Fiveband barb is a visually striking species featuring five bold, vertical black bars distributed evenly across its warm, copper-to-orange body. They are native to the calm, slow-moving peat swamp forests of Southeast Asia, where the water is naturally stained with tannins from leaf litter. To thrive in captivity, they require at least a 20-gallon environment with soft, slightly acidic water and plenty of dense vegetation or driftwood to mimic their shaded natural home. Their temperament is remarkably peaceful and social; unlike their more boisterous lookalike, the Tiger barb, they are not known for fin-nipping behaviors. They are highly compatible with other docile community fish, such as small rasboras or gouramis, and must be kept in a school of at least six to eight individuals to ensure they feel secure and maintain their vibrant coloration.",20–26 degrees celsius,"The Fiveband barb is a visually striking species featuring five bold, vertical black bars distributed evenly across its warm, copper-to-orange body. They are native to the calm, slow-moving peat swamp forests of Southeast Asia, where the water is naturally stained with tannins from leaf litter. To thrive in captivity, they require at least a 20-gallon environment with soft, slightly acidic water and plenty of dense vegetation or driftwood to mimic their shaded natural home. Their temperament is remarkably peaceful and social; unlike their more boisterous lookalike, the Tiger barb, they are not known for fin-nipping behaviors. They are highly compatible with other docile community fish, such as small rasboras or gouramis, and must be kept in a school of at least six to eight individuals to ensure they feel secure and maintain their vibrant coloration.",5.0 - 7.0,15 – 20 gallons,"4.0 - 5.5 cm / 1.6 - 2.2""",Peaceful; much shyer than tiger barbs and compatible with very peaceful community fish.,https://en.wikipedia.org//wiki/Desmopuntius_hexazona
Checker barb,Oliotius oligolepis,https://upload.wikimedia.org//wikipedia/commons/7/77/Puntius_oligolepis.jpg,"The Checker barb is a charming, smaller species named for the unique, ""checkered"" pattern created by the dark, heavy edges on its large, iridescent scales. Males are particularly colorful, often displaying a reddish-orange tint on their fins and a more intense metallic sheen, while females remain a more subtle, golden-brown hue. Originating from the island streams of Sumatra, they require an aquarium of at least 20 gallons that provides a balance of open swimming space and planted cover. Their temperament is peaceful and active, making them an excellent choice for a quiet community setup. They are highly compatible with other small, non-aggressive species like tetras and rasboras. To encourage their natural behaviors and social structure, they should always be kept in a group of at least six, as solitary individuals can become shy and stressed.",22–26 degrees celsius,"The Checker barb is a charming, smaller species named for the unique, ""checkered"" pattern created by the dark, heavy edges on its large, iridescent scales. Males are particularly colorful, often displaying a reddish-orange tint on their fins and a more intense metallic sheen, while females remain a more subtle, golden-brown hue. Originating from the island streams of Sumatra, they require an aquarium of at least 20 gallons that provides a balance of open swimming space and planted cover. Their temperament is peaceful and active, making them an excellent choice for a quiet community setup. They are highly compatible with other small, non-aggressive species like tetras and rasboras. To encourage their natural behaviors and social structure, they should always be kept in a group of at least six, as solitary individuals can become shy and stressed.",6.0 - 7.5,15 – 20 gallons,"4.0 - 5.0 cm / 1.6 - 2.0""",Peaceful and docile; thrives in planted tanks with other calm community species.,https://en.wikipedia.org//wiki/Oliotius_oligolepis
Tinfoil barb,Barbonymus schwanenfeldii,https://upload.wikimedia.org//wikipedia/commons/1/18/Tinfoil_barbs_01.jpg,"The Tinfoil barb is a large, high-energy fish named for its shimmering, metallic silver scales that catch the light like tinfoil, accented by vibrant red-to-orange coloration on its dorsal, pectoral, and tail fins. They are native to the large, flowing river systems of Southeast Asia and require a massive aquarium of at least 125 to 150 gallons to accommodate their adult size, which can reach up to 14 inches. Their temperament is generally peaceful, but their sheer size and frenetic, schooling activity can easily stress out smaller or slower-moving tank mates. They are highly compatible with other robust giants like Oscars, large Catfish, or Silver Dollars, provided there is heavy-duty filtration and a very secure lid, as they are powerful jumpers when spooked.",22–26 degrees celsius,"The Tinfoil barb is a large, high-energy fish named for its shimmering, metallic silver scales that catch the light like tinfoil, accented by vibrant red-to-orange coloration on its dorsal, pectoral, and tail fins. They are native to the large, flowing river systems of Southeast Asia and require a massive aquarium of at least 125 to 150 gallons to accommodate their adult size, which can reach up to 14 inches. Their temperament is generally peaceful, but their sheer size and frenetic, schooling activity can easily stress out smaller or slower-moving tank mates. They are highly compatible with other robust giants like Oscars, large Catfish, or Silver Dollars, provided there is heavy-duty filtration and a very secure lid, as they are powerful jumpers when spooked.",6.5 - 7.5,15 – 20 gallons,"25.0 - 35.0 cm / 9.8 - 13.8""","Peaceful but grows very large; compatible only with other large, active fish in massive tanks.",https://en.wikipedia.org//wiki/Barbonymus_schwanenfeldii
Bala shark,Balantiocheilus melanopterus,https://upload.wikimedia.org//wikipedia/commons/9/91/Balantiocheilos_melanopterus.JPG,"Despite its shark-like silhouette and name, the Bala shark is actually a member of the carp family, featuring a sleek, streamlined silver body with high-contrast black edging on its dorsal and tail fins. They originate from the large rivers and lakes of Southeast Asia and are incredibly fast, active swimmers that require a massive tank of at least 125 to 150 gallons for a school. Their temperament is peaceful and social, but they are notorious for being easily spooked by sudden movements outside the tank, which can lead to injury. They are compatible with other large, active fish such as Tinfoil barbs or Giant gouramis, but they should always be kept in groups of five or more to prevent stress and loneliness.",22–26 degrees celsius,"Despite its shark-like silhouette and name, the Bala shark is actually a member of the carp family, featuring a sleek, streamlined silver body with high-contrast black edging on its dorsal and tail fins. They originate from the large rivers and lakes of Southeast Asia and are incredibly fast, active swimmers that require a massive tank of at least 125 to 150 gallons for a school. Their temperament is peaceful and social, but they are notorious for being easily spooked by sudden movements outside the tank, which can lead to injury. They are compatible with other large, active fish such as Tinfoil barbs or Giant gouramis, but they should always be kept in groups of five or more to prevent stress and loneliness.",6.5 - 7.5,75 – 125 gallons,"25.0 - 35.0 cm / 9.8 - 13.8""",Peaceful but very active and large; needs large tankmates that won't be intimidated by its size and speed.,https://en.wikipedia.org//wiki/Balantiocheilus_melanopterus
Black shark,Labeo chrysophekadion,https://upload.wikimedia.org//wikipedia/commons/c/c5/Black_Sharkminnow_%28Labeo_chrysophekadion%29_%288683050709%29.jpg,"The Black shark is a massive, jet-black fish with a sharp dorsal fin and powerful body that can grow to a staggering 24 to 30 inches in length. Native to the deep river channels of Southeast Asia, they require a specialized environment of at least 200+ gallons with very strong filtration. Their temperament is notoriously territorial and highly aggressive as they mature, often viewing the entire bottom of the tank as their personal domain. Compatibility is extremely low; they will often harass or kill any fish that enters their territory, and they are generally best kept as solitary specimens in massive, dedicated systems.",22–26 degrees celsius,"The Black shark is a massive, jet-black fish with a sharp dorsal fin and powerful body that can grow to a staggering 24 to 30 inches in length. Native to the deep river channels of Southeast Asia, they require a specialized environment of at least 200+ gallons with very strong filtration. Their temperament is notoriously territorial and highly aggressive as they mature, often viewing the entire bottom of the tank as their personal domain. Compatibility is extremely low; they will often harass or kill any fish that enters their territory, and they are generally best kept as solitary specimens in massive, dedicated systems.",6.5 - 7.5,125 – 150+ gallons,"40.0 - 60.0 cm / 15.7 - 23.6""",Highly aggressive and territorial: Generally doesn't need a tankmate as it becomes very hostile with age.,https://en.wikipedia.org//wiki/Labeo_chrysophekadion
"Siamese algae eater, fringe barb",Crossocheilus oblongus,https://upload.wikimedia.org//wikipedia/commons/1/17/Crossocheilus_siamensis.jpg,"This is one of the most functional fish in the hobby, prized for its relentless appetite for nuisance algae, including the difficult black brush algae. They feature a sleek, cigar-shaped silver body with a bold black horizontal line that runs from the nose all the way through the fork of the tail. Native to the flowing rivers of Thailand and Malaysia, they require at least 30 to 40 gallons with high water quality and plenty of surfaces like driftwood to graze on. Their temperament is generally peaceful, though they can become territorial with their own kind as they age. They are highly compatible with most community fish, provided they are not housed with large predators that might view them as food.",22–26 degrees celsius,"This is one of the most functional fish in the hobby, prized for its relentless appetite for nuisance algae, including the difficult black brush algae. They feature a sleek, cigar-shaped silver body with a bold black horizontal line that runs from the nose all the way through the fork of the tail. Native to the flowing rivers of Thailand and Malaysia, they require at least 30 to 40 gallons with high water quality and plenty of surfaces like driftwood to graze on. Their temperament is generally peaceful, though they can become territorial with their own kind as they age. They are highly compatible with most community fish, provided they are not housed with large predators that might view them as food.",6.5 - 7.5,150 – 250+ gallons,"12.0 - 15.0 cm / 4.7 - 5.9""",Peaceful and useful; compatible with almost any community fish and great for algae control.,https://en.wikipedia.org//wiki/Crossocheilus_oblongus
Flying fox (fish),Epalzeorhynchos kalopterus,https://upload.wikimedia.org//wikipedia/commons/d/de/Epalzeorhynchos_kalopterus.jpg,"The Flying fox is a visually striking bottom-dweller with a dark brown-to-black back, a gold-toned horizontal stripe, and a bold black line beneath it. They inhabit the fast-flowing mountain streams of Southeast Asia and require a 30-to-40-gallon tank with plenty of caves and driftwood to establish a home base. Their temperament is highly territorial, particularly toward other bottom-dwellers or similar-looking species like the Siamese algae eater. While they do eat some algae, they are mostly kept for their unique appearance and are compatible with mid-water schooling fish that stay out of their bottom territory.",22–26 degrees celsius,"The Flying fox is a visually striking bottom-dweller with a dark brown-to-black back, a gold-toned horizontal stripe, and a bold black line beneath it. They inhabit the fast-flowing mountain streams of Southeast Asia and require a 30-to-40-gallon tank with plenty of caves and driftwood to establish a home base. Their temperament is highly territorial, particularly toward other bottom-dwellers or similar-looking species like the Siamese algae eater. While they do eat some algae, they are mostly kept for their unique appearance and are compatible with mid-water schooling fish that stay out of their bottom territory.",6.0 - 7.5,30 – 40 gallons,"12.0 - 15.0 cm / 4.7 - 5.9""","Semi-aggressive: Can be territorial toward similar-looking species, but peaceful with mid-water fish.",https://en.wikipedia.org//wiki/Epalzeorhynchos_kalopterus
Red-tailed black shark,Epalzeorhynchos bicolor,https://upload.wikimedia.org//wikipedia/commons/5/51/Epalzeorhynchos_bicolor.jpg,"This iconic aquarium fish features a velvety jet-black body and a brilliant, fiery red tail that creates a stunning visual contrast. They are native to the river systems of Thailand and require at least 55 gallons with numerous caves, driftwood, and heavy vegetation to feel secure. Their temperament is highly territorial toward their own kind and any other shark-like fish, often chasing away intruders with great speed. They are compatible with fast-moving mid-water fish like Barbs, Danios, or Tetras that won't compete for their bottom-dwelling caves, but they should generally be the only shark in the tank.",22–26 degrees celsius,"This iconic aquarium fish features a velvety jet-black body and a brilliant, fiery red tail that creates a stunning visual contrast. They are native to the river systems of Thailand and require at least 55 gallons with numerous caves, driftwood, and heavy vegetation to feel secure. Their temperament is highly territorial toward their own kind and any other shark-like fish, often chasing away intruders with great speed. They are compatible with fast-moving mid-water fish like Barbs, Danios, or Tetras that won't compete for their bottom-dwelling caves, but they should generally be the only shark in the tank.",6.5 - 7.5,20 – 30 gallons,"12.0 - 15.0 cm / 4.7 - 5.9""","Aggressive and territorial: Best kept as the only shark in the tank; compatible with fast, robust mid-water fish.",https://en.wikipedia.org//wiki/Epalzeorhynchos_bicolor
Rainbow shark,Epalzeorhynchos frenatum,https://upload.wikimedia.org//wikipedia/commons/b/b1/Fransenlipper.JPG,"Similar to the red-tail, the Rainbow shark has a dark grey or blue-black body, but all of its fins—not just the tail—are a bright reddish-orange. They inhabit the sandy riverbeds of Southeast Asia and require a 55-gallon setup with numerous hiding spots and territorial breaks. Their temperament is territorial and assertive, though they are generally considered slightly less aggressive than the Red-tailed black shark. They are compatible with robust community fish like Giant danios or Rainbowfish, but like their cousins, they should be the only ""shark"" in the aquarium to prevent lethal fighting.",22–26 degrees celsius,"Similar to the red-tail, the Rainbow shark has a dark grey or blue-black body, but all of its fins?not just the tail?are a bright reddish-orange. They inhabit the sandy riverbeds of Southeast Asia and require a 55-gallon setup with numerous hiding spots and territorial breaks. Their temperament is territorial and assertive, though they are generally considered slightly less aggressive than the Red-tailed black shark. They are compatible with robust community fish like Giant danios or Rainbowfish, but like their cousins, they should be the only ""shark"" in the aquarium to prevent lethal fighting.",6.5 - 7.5,55 – 75 gallons,"15.0 - 25.0 cm / 5.9 - 9.8""","Semi-aggressive and territorial: Similar to the red-tailed black shark, it should be the only shark in its territory.",https://en.wikipedia.org//wiki/Epalzeorhynchos_frenatum
